generation,individual_id,decoded_architecture,predicted_psnr,params
2,17,4 2 3 6 1 2 0 4 5 6 0 1 0 3 3 4 6 2 1 7 2 4 7 3 2 0 5 6,-30.82545513262982,82336
2,18,4 2 5 1 2 1 0 7 7 3 1 5 7 2 5 6 7 7 5 3 2 2 4 2 0 2 6 1,-30.127223919942708,58240
2,19,4 2 0 0 4 3 1 4 6 4 2 4 2 7 2 2 0 6 7 6 5 0 6 6 4 6 5 1,-28.771386591276123,45232
2,20,4 0 2 2 4 6 1 4 2 6 7 6 6 1 5 4 6 2 4 7 6 2 3 5 1 5 3 4,-30.57905620175014,65584
2,21,0 7 5 4 2 4 5 6 0 2 5 4 4 1 3 5 2 1 5 4 4 1 6 3 2 6 5 7,-30.75722015914251,82096
2,22,5 7 1 4 0 6 6 7 3 4 3 6 0 6 1 6 2 3 1 1 2 1 7 3 7 3 5 3,-31.644440057771018,323392
2,23,5 7 1 4 4 5 7 0 5 4 3 6 0 6 2 4 7 0 6 1 6 4 2 1 7 7 2 2,-31.085488507263648,133088
2,24,1 4 5 4 3 4 0 0 6 6 3 0 4 6 0 1 4 2 6 7 2 4 7 3 2 1 1 4,-31.059036214703013,101856
2,25,5 7 1 4 0 6 6 7 3 4 3 6 0 6 2 4 7 0 6 1 6 4 2 1 7 7 2 2,-31.436457663955046,195232
2,26,4 2 4 2 2 4 5 1 0 1 4 4 4 1 0 5 1 6 3 5 5 1 4 4 3 5 1 6,-29.174998577520334,59344
2,27,4 3 4 5 3 0 2 6 0 7 7 7 5 0 4 7 6 4 3 5 3 5 4 4 3 7 1 2,-30.072596988496052,62608
2,28,4 7 2 3 3 2 0 3 5 2 4 4 1 0 2 4 5 3 4 5 2 4 1 1 4 0 4 3,-30.185310568956613,67520
2,29,4 5 3 1 6 2 5 6 2 5 4 1 1 2 0 4 4 7 7 7 0 2 0 0 4 1 4 4,-30.585565273181032,88400
2,30,0 7 5 4 2 4 5 4 2 2 5 5 4 1 3 5 7 0 1 2 0 2 6 3 2 6 5 7,-30.19889067713255,83264
2,31,1 7 6 1 5 2 2 0 3 1 4 1 5 3 5 0 7 5 5 2 5 2 5 0 2 2 4 3,-31.46202281430909,326816
2,32,6 3 7 7 5 6 4 1 2 1 6 7 4 4 7 4 6 3 0 2 0 2 7 1 1 5 1 1,-31.601407974202143,1028208
2,33,4 0 3 3 1 3 1 5 0 6 2 2 6 5 1 6 2 3 1 1 2 1 7 3 7 3 5 3,-31.034525959500407,163984
2,34,4 2 5 1 0 7 0 5 2 5 2 2 6 6 7 4 6 4 5 1 1 3 1 2 0 2 6 1,-30.87080654074504,108736
2,35,5 2 0 0 4 3 1 4 6 4 2 6 1 4 2 0 7 4 0 1 0 4 0 4 4 2 5 7,-30.862923857745493,104960
2,36,4 1 3 7 6 6 4 1 2 1 6 7 4 6 0 4 3 2 3 1 0 2 7 1 1 5 2 1,-30.99636488097019,139456
2,37,1 6 1 0 7 6 4 7 3 4 3 4 3 2 5 5 2 2 7 0 1 3 2 0 0 0 3 1,-31.101211394234785,277408
2,38,5 7 0 1 0 1 5 0 6 3 0 1 0 6 7 4 6 2 1 0 2 1 6 0 0 7 6 0,-31.310204957387988,288512
2,39,1 6 1 0 6 6 4 1 2 1 6 7 4 4 1 0 7 4 0 1 0 4 0 4 7 0 3 1,-31.080300913683498,247872
2,40,4 5 0 5 4 4 6 1 6 5 6 4 4 1 3 3 7 4 3 2 5 1 2 6 1 4 7 7,-30.280096989749346,90560
2,41,4 7 1 2 6 0 3 0 1 3 6 2 2 0 2 3 3 2 5 5 1 0 6 2 3 0 0 2,-30.51578427826692,102352
2,42,4 5 0 5 4 4 6 1 7 5 6 4 4 0 7 7 6 4 0 2 4 5 1 5 7 0 1 7,-30.36365443168239,100464
