label,pc1,pc2,Net
pool,2.450061151676242,-2.1817634176759584,"[0, 5, 4, 3, 7, 6, 2, 5, 7, 1, 0, 4, 5, 7, 2, 5, 4, 2, 7, 1, 0, 7, 4, 7, 7, 4, 6, 0]"
pool,0.35099400244718865,-0.7035743089180632,"[4, 3, 4, 4, 3, 2, 7, 7, 3, 4, 0, 6, 1, 6, 5, 5, 7, 0, 7, 1, 1, 1, 3, 0, 7, 7, 4, 0]"
pool,-0.3944834874864389,0.7636579119511632,"[4, 7, 5, 4, 3, 2, 3, 6, 2, 1, 4, 4, 4, 4, 3, 0, 7, 0, 1, 1, 0, 4, 5, 1, 6, 4, 1, 5]"
pool,-5.9207932613042376,0.26388459395411545,"[1, 4, 0, 4, 0, 0, 0, 7, 4, 0, 7, 4, 4, 7, 0, 1, 4, 4, 0, 7, 6, 4, 7, 0, 4, 7, 0, 4]"
pool,3.2485072412140776,0.5197432193821574,"[0, 0, 1, 6, 3, 0, 5, 1, 6, 1, 1, 6, 7, 3, 0, 7, 6, 3, 6, 2, 6, 2, 4, 0, 0, 6, 3, 4]"
pool,-5.912931090508622,-0.22922553056873338,"[0, 2, 4, 5, 7, 0, 0, 7, 1, 2, 7, 0, 0, 7, 0, 4, 7, 4, 5, 7, 0, 4, 1, 4, 1, 7, 0, 4]"
pool,-6.358167773935642,0.06903783018763184,"[0, 7, 4, 4, 7, 0, 0, 1, 0, 0, 7, 4, 1, 7, 1, 4, 7, 0, 1, 7, 4, 5, 1, 0, 4, 7, 4, 0]"
pool,2.936015037314155,1.8581357485183665,"[2, 7, 3, 1, 1, 0, 6, 4, 7, 6, 2, 2, 3, 3, 1, 1, 1, 4, 4, 0, 1, 4, 3, 2, 5, 0, 7, 0]"
pool,-4.746018965228665,0.47146792868705484,"[6, 7, 0, 4, 7, 4, 0, 4, 4, 0, 7, 5, 0, 1, 4, 6, 7, 0, 0, 0, 4, 0, 7, 2, 4, 7, 0, 1]"
pool,-3.5989754067974515,-1.9294545511463927,"[4, 7, 1, 4, 7, 0, 6, 7, 0, 5, 1, 5, 4, 6, 2, 6, 7, 4, 5, 7, 4, 4, 3, 0, 4, 7, 0, 4]"
pool,-6.343921307195501,1.047216506024888,"[4, 7, 0, 0, 3, 0, 4, 5, 0, 1, 7, 0, 4, 7, 0, 2, 7, 4, 0, 7, 1, 0, 7, 4, 0, 4, 0, 4]"
pool,3.2446338463249926,0.22840270900889412,"[3, 2, 6, 6, 6, 6, 4, 5, 0, 2, 4, 3, 2, 2, 5, 4, 5, 2, 1, 1, 0, 7, 4, 4, 6, 0, 4, 5]"
pool,3.7089524390649418,-1.420970225344682,"[5, 2, 6, 4, 2, 2, 4, 6, 7, 6, 7, 6, 0, 3, 7, 7, 2, 1, 6, 3, 4, 7, 4, 1, 4, 0, 3, 5]"
pool,0.43690279367688517,-0.464037459144014,"[1, 1, 6, 4, 7, 3, 0, 4, 3, 4, 7, 2, 0, 4, 4, 4, 3, 2, 0, 6, 7, 2, 5, 4, 4, 2, 1, 6]"
pool,0.4883574623381503,1.4230434268588719,"[3, 5, 4, 4, 4, 7, 0, 4, 0, 0, 1, 5, 6, 1, 5, 0, 5, 0, 5, 1, 6, 0, 0, 4, 0, 7, 4, 6]"
pool,-0.805222566076767,-0.2594215071680883,"[0, 5, 1, 4, 7, 5, 4, 0, 3, 5, 3, 5, 3, 4, 4, 5, 2, 1, 0, 2, 4, 4, 7, 1, 0, 7, 6, 4]"
pool,-0.6940494855762364,0.9332127730636143,"[2, 1, 4, 5, 5, 1, 1, 7, 0, 4, 4, 1, 2, 6, 0, 5, 7, 4, 6, 3, 6, 5, 2, 0, 4, 5, 0, 0]"
pool,-6.148975562763035,-0.2318853307156977,"[4, 0, 4, 4, 0, 0, 0, 7, 0, 4, 7, 4, 0, 7, 4, 0, 7, 5, 4, 7, 4, 0, 7, 2, 0, 7, 4, 1]"
pool,-0.8758770542672978,1.172954045605725,"[0, 1, 4, 0, 6, 4, 4, 6, 0, 4, 0, 0, 4, 0, 4, 4, 4, 7, 3, 7, 5, 5, 6, 0, 4, 1, 1, 4]"
pool,-3.2465469969769294,1.8054197669550271,"[0, 7, 0, 4, 5, 0, 4, 7, 0, 0, 1, 4, 1, 6, 0, 6, 1, 2, 0, 0, 5, 4, 5, 4, 4, 7, 0, 0]"
pool,2.3941983350901457,1.2434929538795187,"[2, 4, 3, 3, 7, 0, 6, 6, 1, 2, 3, 5, 2, 1, 2, 1, 5, 4, 5, 4, 4, 1, 0, 4, 3, 0, 2, 5]"
pool,2.371930148284391,0.08265735374636547,"[1, 6, 6, 5, 0, 0, 4, 1, 6, 6, 3, 7, 0, 4, 2, 3, 6, 4, 3, 0, 1, 3, 7, 0, 5, 2, 5, 4]"
pool,2.1475745382099083,-0.7824118497182357,"[5, 0, 0, 4, 5, 3, 1, 7, 3, 6, 6, 7, 3, 6, 0, 2, 7, 3, 3, 3, 2, 2, 1, 3, 4, 6, 4, 1]"
