Net,params,valid_psnr
"[4, 0, 4, 5, 7, 5, 2, 4, 1, 0, 4, 2, 2, 1, 4, 6, 4, 5, 1, 1, 0, 1, 2, 0, 6, 4, 4, 6]",9264,33.52708054
"[4, 0, 4, 5, 7, 5, 2, 4, 1, 0, 4, 1, 2, 1, 4, 6, 4, 5, 0, 2, 0, 1, 2, 0, 6, 4, 4, 6]",8064,33.14623642
"[4, 0, 4, 4, 7, 5, 2, 4, 1, 0, 4, 1, 1, 1, 4, 6, 4, 5, 0, 1, 0, 1, 2, 0, 5, 4, 4, 5]",6784,34.2649498
"[4, 0, 4, 4, 7, 5, 2, 4, 0, 0, 4, 1, 1, 2, 4, 5, 7, 5, 0, 1, 0, 0, 2, 0, 5, 4, 4, 5]",5680,33.98287582
"[4, 0, 4, 4, 7, 5, 2, 4, 1, 0, 7, 2, 2, 2, 4, 5, 4, 4, 0, 1, 0, 0, 2, 0, 5, 3, 4, 5]",5184,33.11155701
"[4, 0, 4, 4, 7, 5, 2, 4, 0, 0, 7, 2, 2, 2, 4, 4, 7, 5, 0, 1, 0, 0, 2, 0, 5, 3, 4, 5]",4480,33.53722
"[4, 7, 4, 4, 7, 4, 2, 7, 1, 7, 7, 3, 0, 7, 4, 4, 7, 4, 0, 7, 3, 0, 3, 0, 4, 1, 4, 4]",2816,32.97415161
"[4, 0, 4, 5, 7, 5, 2, 4, 1, 0, 4, 1, 2, 1, 4, 6, 4, 5, 1, 1, 0, 1, 2, 0, 6, 4, 4, 6]",8496,33.91934204
"[4, 0, 4, 4, 7, 5, 2, 4, 1, 0, 4, 1, 1, 1, 4, 5, 4, 5, 0, 1, 0, 0, 3, 0, 5, 4, 4, 5]",6240,33.92024612
"[4, 0, 4, 5, 7, 5, 2, 4, 1, 0, 4, 2, 2, 1, 4, 6, 4, 5, 1, 1, 1, 1, 2, 0, 6, 4, 4, 6]",13360,34.34610367
"[4, 0, 4, 5, 7, 5, 2, 4, 1, 0, 4, 1, 1, 1, 4, 6, 4, 5, 0, 1, 0, 1, 2, 0, 6, 4, 4, 5]",7328,34.00881577
"[4, 0, 4, 4, 7, 5, 2, 4, 0, 0, 7, 2, 2, 1, 4, 5, 4, 5, 0, 1, 0, 0, 3, 0, 5, 4, 4, 5]",5248,33.84514618
"[4, 7, 4, 4, 7, 5, 2, 4, 1, 0, 4, 2, 0, 7, 4, 4, 7, 4, 0, 7, 3, 0, 3, 0, 4, 1, 4, 4]",3936,33.80098343
"[7, 7, 0, 5, 4, 0, 0, 2, 1, 0, 6, 5, 6, 4, 2, 5, 1, 0, 1, 3, 4, 1, 7, 3, 1, 0, 1, 3]",336800,34.27273941
"[7, 7, 0, 5, 4, 0, 0, 2, 1, 0, 6, 6, 6, 4, 2, 5, 1, 0, 1, 3, 4, 1, 7, 3, 1, 0, 1, 2]",496480,34.078125
"[6, 7, 0, 5, 4, 0, 0, 2, 1, 0, 6, 6, 6, 4, 2, 5, 1, 0, 1, 3, 4, 1, 7, 3, 1, 0, 1, 3]",302544,35.16620255
"[7, 7, 0, 5, 4, 0, 0, 2, 1, 0, 7, 6, 6, 4, 2, 5, 1, 0, 1, 3, 4, 1, 7, 3, 1, 0, 1, 3]",226016,35.31979752
"[7, 7, 0, 5, 4, 0, 0, 2, 1, 0, 6, 6, 6, 4, 2, 5, 1, 0, 1, 3, 4, 1, 7, 3, 1, 0, 0, 3]",402336,35.1266861
"[7, 7, 0, 5, 4, 0, 0, 2, 1, 0, 6, 6, 6, 4, 2, 5, 1, 0, 1, 3, 4, 1, 7, 3, 1, 1, 1, 3]",533408,34.90726089
"[7, 7, 6, 5, 1, 4, 0, 7, 6, 0, 7, 4, 0, 7, 7, 3, 3, 4, 1, 7, 2, 4, 7, 4, 1, 7, 4, 5]",21280,33.7118187
"[7, 7, 6, 5, 1, 4, 0, 7, 6, 0, 7, 4, 0, 7, 7, 5, 2, 4, 0, 7, 2, 4, 7, 3, 1, 7, 6, 5]",17120,33.95808792
"[6, 7, 6, 5, 1, 4, 0, 7, 5, 0, 7, 4, 0, 7, 7, 4, 2, 4, 1, 7, 2, 4, 7, 4, 1, 7, 5, 5]",13680,33.9038887
"[6, 7, 6, 5, 1, 4, 0, 7, 6, 0, 7, 4, 0, 7, 7, 5, 2, 4, 0, 7, 2, 4, 7, 3, 1, 7, 6, 5]",11328,33.19969178
"[6, 7, 6, 5, 1, 4, 0, 7, 6, 0, 7, 4, 0, 7, 7, 5, 3, 4, 0, 7, 2, 4, 7, 4, 1, 7, 5, 5]",11328,32.92547607
"[6, 7, 6, 5, 1, 4, 0, 7, 6, 0, 7, 4, 0, 7, 7, 2, 3, 4, 0, 7, 2, 4, 7, 3, 1, 7, 6, 5]",11328,32.94129944
"[4, 7, 7, 4, 7, 6, 1, 7, 2, 2, 7, 7, 0, 7, 1, 1, 3, 4, 4, 7, 6, 5, 7, 1, 2, 7, 5, 5]",2544,32.07081604
"[7, 7, 6, 5, 1, 4, 0, 7, 6, 0, 7, 4, 0, 7, 7, 4, 3, 4, 1, 7, 2, 4, 7, 4, 1, 7, 5, 5]",21280,33.69351196
"[6, 7, 6, 5, 1, 4, 0, 7, 6, 0, 7, 4, 0, 7, 7, 5, 3, 4, 0, 7, 2, 4, 7, 3, 1, 7, 6, 5]",11328,33.2674675
