Net,train_psnr,valid_psnr
"[4, 5, 5, 0, 3, 3, 2, 3, 6, 1, 0, 6, 0, 4, 2, 1, 3, 1, 7, 7, 2, 3, 4, 5, 3, 3, 3, 2]",33.30122757,32.84412766
"[3, 1, 2, 5, 3, 3, 0, 4, 0, 3, 7, 7, 2, 2, 1, 0, 5, 5, 6, 4, 0, 2, 7, 0, 7, 2, 7, 5]",inf,31.44111633
"[4, 4, 5, 2, 5, 3, 6, 2, 4, 3, 5, 0, 5, 2, 3, 5, 1, 6, 1, 1, 5, 2, 0, 5, 7, 5, 4, 6]",29.23696899,28.16832733
"[0, 6, 4, 2, 6, 2, 6, 2, 0, 4, 3, 4, 6, 3, 3, 3, 2, 6, 3, 1, 4, 5, 4, 6, 4, 5, 3, 0]",33.96336365,33.36936569
"[3, 3, 1, 6, 7, 3, 4, 0, 5, 1, 6, 3, 2, 2, 0, 0, 3, 0, 5, 1, 0, 7, 7, 7, 3, 4, 4, 5]",inf,34.49703217
"[7, 6, 0, 6, 2, 0, 0, 6, 4, 2, 1, 6, 5, 5, 1, 0, 2, 1, 5, 2, 5, 2, 5, 7, 1, 0, 1, 0]",35.40684891,35.20614624
"[2, 6, 4, 2, 1, 1, 0, 7, 6, 4, 1, 4, 3, 6, 5, 3, 5, 6, 2, 3, 5, 4, 7, 3, 6, 7, 4, 0]",34.77647018,34.48985291
"[0, 7, 7, 5, 3, 4, 3, 7, 0, 1, 3, 1, 7, 5, 2, 7, 3, 4, 0, 5, 2, 2, 7, 2, 0, 3, 7, 7]",34.93644714,33.38824463
"[1, 7, 2, 6, 1, 1, 6, 7, 2, 4, 1, 7, 3, 0, 3, 1, 0, 5, 3, 2, 3, 2, 1, 1, 0, 3, 7, 6]",34.20318222,33.79117584
"[2, 7, 2, 5, 7, 1, 5, 6, 3, 3, 0, 0, 0, 6, 7, 2, 4, 3, 5, 4, 5, 2, 3, 1, 5, 6, 6, 2]",33.98558426,33.46689606
"[0, 6, 2, 0, 0, 6, 7, 6, 1, 5, 5, 2, 7, 4, 6, 4, 1, 7, 7, 6, 2, 1, 2, 5, 0, 7, 4, 4]",34.1238327,31.53700447
"[2, 4, 2, 0, 0, 4, 7, 5, 3, 0, 7, 4, 7, 6, 6, 6, 2, 7, 4, 4, 0, 7, 2, 7, 2, 0, 2, 3]",34.76407623,33.40838242
"[0, 0, 7, 4, 2, 1, 5, 5, 0, 3, 2, 6, 6, 0, 2, 5, 3, 4, 4, 3, 3, 6, 0, 1, 0, 1, 0, 4]",33.36287689,32.63847351
"[0, 2, 1, 5, 2, 7, 4, 2, 6, 3, 3, 6, 2, 5, 6, 5, 4, 3, 0, 3, 6, 4, 6, 1, 5, 0, 1, 7]",33.00396729,25.55472374
"[3, 4, 5, 0, 7, 2, 1, 0, 6, 1, 0, 6, 3, 6, 6, 4, 4, 1, 4, 1, 4, 6, 1, 1, 0, 6, 0, 2]",34.34627914,33.97446823
"[5, 1, 2, 2, 0, 6, 1, 7, 3, 2, 5, 1, 3, 4, 2, 2, 4, 1, 0, 1, 5, 3, 5, 5, 0, 2, 7, 0]",33.51725006,32.37758636
"[2, 0, 3, 4, 0, 7, 3, 7, 3, 0, 0, 4, 3, 2, 4, 1, 4, 2, 0, 4, 2, 4, 1, 7, 4, 3, 3, 5]",34.96366119,34.15581131
"[0, 7, 0, 4, 5, 5, 4, 4, 5, 1, 5, 5, 5, 4, 0, 7, 7, 3, 2, 7, 3, 7, 0, 1, 2, 5, 3, 3]",29.98372269,30.32211494
"[2, 7, 2, 3, 2, 2, 6, 4, 0, 5, 6, 4, 7, 6, 3, 7, 0, 3, 7, 1, 0, 3, 2, 6, 1, 0, 0, 3]",34.3319397,30.35930634
"[0, 0, 6, 0, 2, 3, 7, 3, 0, 0, 2, 3, 7, 1, 5, 7, 7, 2, 3, 0, 2, 4, 6, 2, 3, 6, 5, 4]",33.54543304,33.52301407
"[4, 2, 7, 6, 5, 7, 4, 5, 0, 7, 7, 3, 3, 2, 5, 4, 7, 4, 4, 2, 3, 7, 1, 0, 5, 5, 3, 2]",34.96038818,34.20090103
"[4, 2, 2, 2, 2, 7, 3, 5, 1, 4, 0, 0, 2, 7, 3, 6, 6, 7, 3, 5, 7, 3, 5, 0, 5, 1, 4, 4]",32.85836029,33.26517487
"[7, 1, 7, 3, 5, 6, 0, 4, 0, 1, 5, 2, 5, 1, 3, 2, 6, 4, 2, 1, 0, 0, 6, 3, 1, 6, 2, 4]",34.36221313,34.03686523
"[7, 6, 7, 0, 2, 0, 4, 1, 0, 3, 7, 6, 0, 2, 2, 5, 5, 3, 2, 2, 2, 2, 6, 4, 5, 6, 4, 4]",34.989151,33.29598236
"[2, 4, 4, 0, 5, 4, 6, 1, 0, 6, 3, 4, 2, 5, 2, 6, 1, 7, 4, 3, 2, 0, 1, 5, 1, 3, 6, 4]",33.51264572,32.09251022
"[2, 2, 0, 6, 2, 4, 6, 5, 6, 1, 2, 0, 1, 5, 0, 5, 5, 7, 3, 3, 1, 1, 0, 0, 5, 6, 0, 3]",34.06877899,33.67322159
"[7, 3, 0, 0, 2, 1, 3, 7, 4, 6, 3, 4, 5, 4, 0, 3, 6, 0, 4, 7, 1, 1, 6, 5, 0, 7, 1, 0]",35.66197586,33.78771591
"[5, 2, 3, 1, 2, 1, 7, 1, 1, 1, 5, 4, 2, 7, 0, 7, 4, 5, 3, 3, 4, 3, 7, 1, 2, 0, 0, 0]",34.95989227,34.02436829
"[7, 2, 1, 7, 4, 2, 7, 7, 5, 3, 6, 5, 7, 7, 2, 5, 2, 7, 0, 3, 1, 6, 2, 0, 6, 3, 6, 6]",34.15145874,33.87347031
"[7, 5, 0, 6, 6, 5, 2, 2, 7, 4, 0, 5, 4, 1, 1, 6, 7, 1, 4, 2, 1, 1, 7, 5, 7, 1, 6, 3]",34.86237335,34.01883316
